data,tipo,local,detalhes
2026-02-16,Estelionato,"Avenida Albino José Barbosa de Oliveira, 2513 - Barão Geraldo",Auto de constatação 774: Fraude em ambiente digital reportada. Encaminhado ao DP central.
2026-02-28,Estelionato,"Rua Marechal Deodoro, 722 - Vila Itapura",Auto de constatação 341: Venda de terreno inexistente. Suspeito foragido.
2026-02-11,Furto,"Rua Doutor Delfino Cintra, 235 - Vila Itapura",Inquérito Policial nº 832: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-06,Homicídio,"Rua Marechal Deodoro, 919 - Vila Itapura",Auto de constatação 233: Vítima encontrada sem sinais vitais. Investigação em curso.
2026-02-10,Tráfico de Entorpecentes,"Avenida Anchieta, 115 - Centro",Relatório de diligência 271: Apreensão de substâncias análogas à cocaína. Encaminhado ao DP central.
2026-02-15,Homicídio,"Avenida Francisco Glicério, 23 - Centro",Inquérito Policial nº 644: Crime passional com arma branca. Aguardando perícia técnica.
2026-02-15,Furto,"Rua Coronel Quirino, 383 - Cambuí",Inquérito Policial nº 431: Objeto subtraído de interior de veículo. Suspeito foragido.
2026-02-12,Estelionato,"Rua Marechal Deodoro, 1223 - Vila Itapura",Auto de constatação 268: Fraude em ambiente digital reportada. Suspeito foragido.
2026-02-16,Tráfico de Entorpecentes,"Rua Doutor Delfino Cintra, 58 - Vila Itapura",Ocorrência registrada via COPOM 444: Indivíduo detido em flagrante com entorpecentes. Suspeito foragido.
2026-02-13,Homicídio,"Rua Barão de Itapura, 2575 - Guanabara",Ocorrência registrada via COPOM 899: Vítima encontrada sem sinais vitais. Encaminhado ao DP central.
2026-02-22,Furto,"Avenida Anchieta, 575 - Centro",Ocorrência registrada via COPOM 799: Objeto subtraído de interior de veículo. Aguardando perícia técnica.
2026-02-02,Roubo,"Avenida Albino José Barbosa de Oliveira, 2940 - Barão Geraldo",Relatório de diligência 366: Vítima abordada por dois elementos em motocicleta. Aguardando perícia técnica.
2026-02-16,Estelionato,"Avenida Heitor Penteado, 2526 - Taquaral",Inquérito Policial nº 310: Golpe do falso bilhete premiado. Suspeito foragido.
2026-02-03,Tráfico de Entorpecentes,"Rua Barão de Itapura, 2160 - Guanabara",Relatório de diligência 652: Indivíduo detido em flagrante com entorpecentes. Encaminhado ao DP central.
2026-02-17,Furto,"Avenida Albino José Barbosa de Oliveira, 2920 - Barão Geraldo",Inquérito Policial nº 414: Furto de bicicleta em via pública. Aguardando perícia técnica.
2026-02-22,Tráfico de Entorpecentes,"Avenida Andrade Neves, 2328 - Castelo",Auto de constatação 244: Apreensão de substâncias análogas à cocaína. Aguardando perícia técnica.
2026-02-25,Tráfico de Entorpecentes,"Rua Paula Bueno, 596 - Taquaral",Ocorrência registrada via COPOM 845: Apreensão de substâncias análogas à cocaína. Encaminhado ao DP central.
2026-02-15,Tráfico de Entorpecentes,"Avenida Heitor Penteado, 2834 - Taquaral",Inquérito Policial nº 621: Indivíduo detido em flagrante com entorpecentes. Suspeito foragido.
2026-02-08,Furto,"Rua Barão de Itapura, 2864 - Guanabara",Relatório de diligência 547: Objeto subtraído de interior de veículo. Encaminhado ao DP central.
2026-02-27,Roubo,"Rua Sampaio Ferraz, 122 - Cambuí",Auto de constatação 369: Assalto a estabelecimento comercial. Suspeito foragido.
2026-02-23,Homicídio,"Avenida Albino José Barbosa de Oliveira, 1558 - Barão Geraldo",Ocorrência registrada via COPOM 811: Vítima encontrada sem sinais vitais. Investigação em curso.
2026-02-05,Roubo,"Rua Sampaio Ferraz, 294 - Cambuí",Inquérito Policial nº 837: Subtração de veículo mediante ameaça. Encaminhado ao DP central.
2026-02-13,Tráfico de Entorpecentes,"Rua Paula Bueno, 415 - Taquaral",Auto de constatação 674: Localização de depósito de drogas após denúncia. Investigação em curso.
2026-02-23,Homicídio,"Rua Paula Bueno, 845 - Taquaral",Ocorrência registrada via COPOM 248: Disparos de arma de fogo em via pública. Investigação em curso.
2026-02-10,Furto,"Rua Marechal Deodoro, 548 - Vila Itapura",Inquérito Policial nº 673: Objeto subtraído de interior de veículo. Suspeito foragido.
2026-02-03,Tráfico de Entorpecentes,"Rua Maria Monteiro, 1132 - Cambuí",Ocorrência registrada via COPOM 583: Localização de depósito de drogas após denúncia. Suspeito foragido.
2026-02-28,Homicídio,"Avenida Brasil, 696 - Guanabara",Inquérito Policial nº 123: Confronto entre grupos rivais. Aguardando perícia técnica.
2026-02-06,Homicídio,"Avenida Francisco Glicério, 270 - Centro",Relatório de diligência 830: Crime passional com arma branca. Suspeito foragido.
2026-02-18,Homicídio,"Rua Maria Monteiro, 230 - Cambuí",Auto de constatação 353: Disparos de arma de fogo em via pública. Suspeito foragido.
2026-02-23,Estelionato,"Rua Doutor Delfino Cintra, 172 - Vila Itapura",Relatório de diligência 962: Golpe do falso bilhete premiado. Suspeito foragido.
2026-02-08,Furto,"Rua Coronel Quirino, 212 - Cambuí",Relatório de diligência 308: Furto de fiação elétrica noturno. Suspeito foragido.
2026-02-04,Roubo,"Avenida Albino José Barbosa de Oliveira, 2417 - Barão Geraldo",Ocorrência registrada via COPOM 418: Vítima abordada por dois elementos em motocicleta. Aguardando perícia técnica.
2026-02-08,Estelionato,"Rua Marechal Deodoro, 1259 - Vila Itapura",Relatório de diligência 578: Venda de terreno inexistente. Encaminhado ao DP central.
2026-02-13,Furto,"Rua Paula Bueno, 608 - Taquaral",Ocorrência registrada via COPOM 813: Furto de bicicleta em via pública. Encaminhado ao DP central.
2026-02-10,Furto,"Avenida Anchieta, 833 - Centro",Relatório de diligência 715: Subtração de pertences em residência sem arrombamento. Investigação em curso.
2026-02-17,Homicídio,"Rua Doutor Delfino Cintra, 458 - Vila Itapura",Ocorrência registrada via COPOM 109: Confronto entre grupos rivais. Encaminhado ao DP central.
2026-02-24,Furto,"Avenida Alberto Sarmento, 954 - Castelo",Ocorrência registrada via COPOM 386: Furto de bicicleta em via pública. Aguardando perícia técnica.
2026-02-15,Roubo,"Avenida Heitor Penteado, 448 - Taquaral",Ocorrência registrada via COPOM 245: Roubo de carga em via arterial. Investigação em curso.
2026-02-16,Estelionato,"Avenida Albino José Barbosa de Oliveira, 1549 - Barão Geraldo",Relatório de diligência 309: Fraude em ambiente digital reportada. Suspeito foragido.
2026-02-08,Tráfico de Entorpecentes,"Rua Marechal Deodoro, 1003 - Vila Itapura",Ocorrência registrada via COPOM 684: Apreensão de substâncias análogas à cocaína. Aguardando perícia técnica.
2026-02-28,Furto,"Rua Maria Monteiro, 542 - Cambuí",Relatório de diligência 534: Furto de bicicleta em via pública. Investigação em curso.
2026-02-02,Furto,"Avenida Alberto Sarmento, 201 - Castelo",Ocorrência registrada via COPOM 176: Furto de bicicleta em via pública. Aguardando perícia técnica.
2026-02-18,Roubo,"Avenida Albino José Barbosa de Oliveira, 891 - Barão Geraldo",Relatório de diligência 693: Roubo de carga em via arterial. Encaminhado ao DP central.
2026-02-06,Furto,"Rua Marechal Deodoro, 713 - Vila Itapura",Inquérito Policial nº 976: Objeto subtraído de interior de veículo. Investigação em curso.
2026-02-24,Homicídio,"Rua Barão de Itapura, 569 - Guanabara",Ocorrência registrada via COPOM 235: Crime passional com arma branca. Suspeito foragido.
2026-02-01,Tráfico de Entorpecentes,"Rua Maria Monteiro, 1013 - Cambuí",Relatório de diligência 667: Venda de entorpecentes em praça pública. Encaminhado ao DP central.
2026-02-12,Tráfico de Entorpecentes,"Avenida Alberto Sarmento, 149 - Castelo",Inquérito Policial nº 773: Indivíduo detido em flagrante com entorpecentes. Aguardando perícia técnica.
2026-02-23,Tráfico de Entorpecentes,"Avenida Francisco Glicério, 1178 - Centro",Ocorrência registrada via COPOM 714: Localização de depósito de drogas após denúncia. Investigação em curso.
2026-02-12,Roubo,"Avenida Andrade Neves, 650 - Castelo",Relatório de diligência 544: Roubo de carga em via arterial. Suspeito foragido.
2026-02-19,Roubo,"Avenida Albino José Barbosa de Oliveira, 296 - Barão Geraldo",Ocorrência registrada via COPOM 735: Vítima abordada por dois elementos em motocicleta. Suspeito foragido.
2026-02-21,Homicídio,"Avenida Heitor Penteado, 441 - Taquaral",Inquérito Policial nº 350: Vítima encontrada sem sinais vitais. Encaminhado ao DP central.
2026-02-09,Tráfico de Entorpecentes,"Avenida Anchieta, 792 - Centro",Auto de constatação 997: Indivíduo detido em flagrante com entorpecentes. Suspeito foragido.
2026-02-26,Homicídio,"Avenida Alberto Sarmento, 946 - Castelo",Auto de constatação 860: Crime passional com arma branca. Investigação em curso.
2026-02-17,Estelionato,"Avenida Alberto Sarmento, 435 - Castelo",Inquérito Policial nº 416: Uso de documento falso para saque bancário. Encaminhado ao DP central.
2026-02-02,Tráfico de Entorpecentes,"Avenida Albino José Barbosa de Oliveira, 617 - Barão Geraldo",Auto de constatação 113: Localização de depósito de drogas após denúncia. Encaminhado ao DP central.
2026-02-06,Homicídio,"Avenida Brasil, 327 - Guanabara",Relatório de diligência 392: Vítima encontrada sem sinais vitais. Investigação em curso.
2026-02-28,Homicídio,"Avenida Brasil, 623 - Guanabara",Inquérito Policial nº 348: Vítima encontrada sem sinais vitais. Aguardando perícia técnica.
2026-02-12,Furto,"Avenida Alberto Sarmento, 129 - Castelo",Relatório de diligência 351: Objeto subtraído de interior de veículo. Suspeito foragido.
2026-02-05,Furto,"Avenida Albino José Barbosa de Oliveira, 818 - Barão Geraldo",Relatório de diligência 409: Objeto subtraído de interior de veículo. Suspeito foragido.
2026-02-22,Roubo,"Rua Marechal Deodoro, 1558 - Vila Itapura",Auto de constatação 738: Assalto a estabelecimento comercial. Aguardando perícia técnica.
2026-02-22,Homicídio,"Rua Marechal Deodoro, 317 - Vila Itapura",Inquérito Policial nº 996: Confronto entre grupos rivais. Encaminhado ao DP central.
2026-02-25,Homicídio,"Avenida Brasil, 1395 - Guanabara",Ocorrência registrada via COPOM 155: Confronto entre grupos rivais. Aguardando perícia técnica.
2026-02-27,Furto,"Avenida Andrade Neves, 1047 - Castelo",Auto de constatação 869: Subtração de pertences em residência sem arrombamento. Aguardando perícia técnica.
2026-02-20,Estelionato,"Rua Marechal Deodoro, 669 - Vila Itapura",Relatório de diligência 108: Venda de terreno inexistente. Aguardando perícia técnica.
2026-02-19,Tráfico de Entorpecentes,"Avenida Brasil, 2157 - Guanabara",Auto de constatação 714: Localização de depósito de drogas após denúncia. Investigação em curso.
2026-02-08,Estelionato,"Avenida Francisco Glicério, 2148 - Centro",Relatório de diligência 218: Uso de documento falso para saque bancário. Suspeito foragido.
2026-02-06,Roubo,"Avenida Andrade Neves, 2739 - Castelo",Inquérito Policial nº 717: Roubo de carga em via arterial. Investigação em curso.
2026-02-04,Tráfico de Entorpecentes,"Avenida Andrade Neves, 1302 - Castelo",Auto de constatação 529: Venda de entorpecentes em praça pública. Investigação em curso.
2026-02-12,Furto,"Avenida Andrade Neves, 2431 - Castelo",Inquérito Policial nº 244: Objeto subtraído de interior de veículo. Aguardando perícia técnica.
2026-02-28,Furto,"Rua Barão de Itapura, 2715 - Guanabara",Inquérito Policial nº 810: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-03,Roubo,"Avenida Albino José Barbosa de Oliveira, 720 - Barão Geraldo",Relatório de diligência 443: Roubo de carga em via arterial. Aguardando perícia técnica.
2026-02-05,Homicídio,"Avenida Francisco Glicério, 706 - Centro",Ocorrência registrada via COPOM 626: Disparos de arma de fogo em via pública. Aguardando perícia técnica.
2026-02-10,Homicídio,"Rua Marechal Deodoro, 1006 - Vila Itapura",Auto de constatação 585: Vítima encontrada sem sinais vitais. Aguardando perícia técnica.
2026-02-28,Roubo,"Avenida Brasil, 2093 - Guanabara",Inquérito Policial nº 841: Assalto a estabelecimento comercial. Investigação em curso.
2026-02-28,Homicídio,"Rua Barão de Itapura, 1035 - Guanabara",Ocorrência registrada via COPOM 757: Vítima encontrada sem sinais vitais. Suspeito foragido.
2026-02-13,Roubo,"Rua Barão de Itapura, 1128 - Guanabara",Ocorrência registrada via COPOM 503: Subtração de veículo mediante ameaça. Investigação em curso.
2026-02-13,Roubo,"Avenida Francisco Glicério, 253 - Centro",Relatório de diligência 983: Roubo de carga em via arterial. Aguardando perícia técnica.
2026-02-16,Tráfico de Entorpecentes,"Avenida Alberto Sarmento, 237 - Castelo",Relatório de diligência 687: Indivíduo detido em flagrante com entorpecentes. Aguardando perícia técnica.
2026-02-18,Furto,"Avenida Andrade Neves, 1064 - Castelo",Auto de constatação 832: Furto de fiação elétrica noturno. Investigação em curso.
2026-02-09,Furto,"Rua Doutor Delfino Cintra, 250 - Vila Itapura",Auto de constatação 455: Furto de fiação elétrica noturno. Encaminhado ao DP central.
2026-02-20,Estelionato,"Avenida Alberto Sarmento, 30 - Castelo",Ocorrência registrada via COPOM 292: Fraude em ambiente digital reportada. Aguardando perícia técnica.
2026-02-13,Homicídio,"Avenida Albino José Barbosa de Oliveira, 2140 - Barão Geraldo",Inquérito Policial nº 554: Vítima encontrada sem sinais vitais. Encaminhado ao DP central.
2026-02-25,Estelionato,"Avenida Anchieta, 352 - Centro",Ocorrência registrada via COPOM 115: Fraude em ambiente digital reportada. Aguardando perícia técnica.
2026-02-26,Furto,"Rua Paula Bueno, 942 - Taquaral",Auto de constatação 194: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-25,Tráfico de Entorpecentes,"Rua Sampaio Ferraz, 562 - Cambuí",Ocorrência registrada via COPOM 939: Apreensão de substâncias análogas à cocaína. Encaminhado ao DP central.
2026-02-09,Tráfico de Entorpecentes,"Rua Maria Monteiro, 641 - Cambuí",Auto de constatação 615: Localização de depósito de drogas após denúncia. Suspeito foragido.
2026-02-13,Roubo,"Avenida Heitor Penteado, 761 - Taquaral",Ocorrência registrada via COPOM 434: Roubo de carga em via arterial. Aguardando perícia técnica.
2026-02-04,Tráfico de Entorpecentes,"Rua Barão de Itapura, 465 - Guanabara",Ocorrência registrada via COPOM 744: Apreensão de substâncias análogas à cocaína. Aguardando perícia técnica.
2026-02-07,Homicídio,"Rua Paula Bueno, 517 - Taquaral",Ocorrência registrada via COPOM 292: Confronto entre grupos rivais. Aguardando perícia técnica.
2026-02-22,Roubo,"Avenida Albino José Barbosa de Oliveira, 2811 - Barão Geraldo",Ocorrência registrada via COPOM 379: Roubo de carga em via arterial. Aguardando perícia técnica.
2026-02-09,Tráfico de Entorpecentes,"Avenida Andrade Neves, 2094 - Castelo",Relatório de diligência 570: Venda de entorpecentes em praça pública. Encaminhado ao DP central.
2026-02-18,Tráfico de Entorpecentes,"Avenida Francisco Glicério, 1364 - Centro",Auto de constatação 278: Apreensão de substâncias análogas à cocaína. Investigação em curso.
2026-02-03,Homicídio,"Rua Barão de Itapura, 2320 - Guanabara",Inquérito Policial nº 959: Confronto entre grupos rivais. Suspeito foragido.
2026-02-01,Estelionato,"Rua Doutor Delfino Cintra, 676 - Vila Itapura",Auto de constatação 964: Fraude em ambiente digital reportada. Investigação em curso.
2026-02-11,Furto,"Avenida Alberto Sarmento, 1007 - Castelo",Ocorrência registrada via COPOM 182: Subtração de pertences em residência sem arrombamento. Investigação em curso.
2026-02-24,Furto,"Avenida Heitor Penteado, 586 - Taquaral",Auto de constatação 593: Furto de fiação elétrica noturno. Encaminhado ao DP central.
2026-02-10,Tráfico de Entorpecentes,"Avenida Heitor Penteado, 1420 - Taquaral",Auto de constatação 796: Venda de entorpecentes em praça pública. Suspeito foragido.
2026-02-28,Furto,"Rua Maria Monteiro, 1437 - Cambuí",Relatório de diligência 711: Subtração de pertences em residência sem arrombamento. Aguardando perícia técnica.
2026-02-21,Tráfico de Entorpecentes,"Avenida Heitor Penteado, 903 - Taquaral",Ocorrência registrada via COPOM 746: Venda de entorpecentes em praça pública. Encaminhado ao DP central.
2026-02-22,Estelionato,"Rua Paula Bueno, 837 - Taquaral",Auto de constatação 352: Fraude em ambiente digital reportada. Encaminhado ao DP central.
2026-02-16,Estelionato,"Rua Marechal Deodoro, 714 - Vila Itapura",Relatório de diligência 407: Uso de documento falso para saque bancário. Investigação em curso.
2026-02-06,Furto,"Avenida Brasil, 2056 - Guanabara",Relatório de diligência 645: Furto de bicicleta em via pública. Aguardando perícia técnica.
2026-02-05,Homicídio,"Avenida Albino José Barbosa de Oliveira, 1468 - Barão Geraldo",Auto de constatação 976: Confronto entre grupos rivais. Aguardando perícia técnica.
2026-02-17,Homicídio,"Rua Maria Monteiro, 1472 - Cambuí",Relatório de diligência 441: Vítima encontrada sem sinais vitais. Investigação em curso.
2026-02-13,Tráfico de Entorpecentes,"Rua Maria Monteiro, 1477 - Cambuí",Relatório de diligência 472: Localização de depósito de drogas após denúncia. Aguardando perícia técnica.
2026-02-18,Estelionato,"Rua Paula Bueno, 712 - Taquaral",Inquérito Policial nº 894: Uso de documento falso para saque bancário. Suspeito foragido.
2026-02-01,Tráfico de Entorpecentes,"Rua Maria Monteiro, 1498 - Cambuí",Ocorrência registrada via COPOM 211: Indivíduo detido em flagrante com entorpecentes. Encaminhado ao DP central.
2026-02-23,Tráfico de Entorpecentes,"Rua Barão de Itapura, 1990 - Guanabara",Auto de constatação 851: Indivíduo detido em flagrante com entorpecentes. Encaminhado ao DP central.
2026-02-07,Furto,"Avenida Francisco Glicério, 2009 - Centro",Inquérito Policial nº 949: Furto de fiação elétrica noturno. Investigação em curso.
2026-02-23,Homicídio,"Rua Doutor Delfino Cintra, 699 - Vila Itapura",Auto de constatação 183: Confronto entre grupos rivais. Encaminhado ao DP central.
2026-02-05,Furto,"Avenida Alberto Sarmento, 1029 - Castelo",Auto de constatação 631: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-04,Tráfico de Entorpecentes,"Avenida Alberto Sarmento, 840 - Castelo",Auto de constatação 404: Venda de entorpecentes em praça pública. Suspeito foragido.
2026-02-27,Roubo,"Rua Marechal Deodoro, 953 - Vila Itapura",Auto de constatação 454: Vítima abordada por dois elementos em motocicleta. Investigação em curso.
2026-02-28,Furto,"Avenida Albino José Barbosa de Oliveira, 1670 - Barão Geraldo",Auto de constatação 281: Subtração de pertences em residência sem arrombamento. Encaminhado ao DP central.
2026-02-04,Homicídio,"Avenida Alberto Sarmento, 33 - Castelo",Relatório de diligência 777: Crime passional com arma branca. Suspeito foragido.
2026-02-26,Furto,"Avenida Albino José Barbosa de Oliveira, 348 - Barão Geraldo",Inquérito Policial nº 612: Furto de fiação elétrica noturno. Aguardando perícia técnica.
2026-02-15,Tráfico de Entorpecentes,"Avenida Heitor Penteado, 1293 - Taquaral",Auto de constatação 198: Venda de entorpecentes em praça pública. Encaminhado ao DP central.
2026-02-02,Roubo,"Rua Maria Monteiro, 353 - Cambuí",Auto de constatação 519: Roubo de carga em via arterial. Aguardando perícia técnica.
2026-02-01,Roubo,"Avenida Albino José Barbosa de Oliveira, 3158 - Barão Geraldo",Relatório de diligência 391: Assalto a estabelecimento comercial. Encaminhado ao DP central.
2026-02-28,Homicídio,"Avenida Albino José Barbosa de Oliveira, 1804 - Barão Geraldo",Relatório de diligência 662: Crime passional com arma branca. Suspeito foragido.
2026-02-02,Furto,"Rua Sampaio Ferraz, 485 - Cambuí",Ocorrência registrada via COPOM 123: Objeto subtraído de interior de veículo. Investigação em curso.
2026-02-06,Furto,"Avenida Heitor Penteado, 1388 - Taquaral",Ocorrência registrada via COPOM 286: Objeto subtraído de interior de veículo. Investigação em curso.
2026-02-27,Homicídio,"Rua Marechal Deodoro, 1657 - Vila Itapura",Inquérito Policial nº 704: Disparos de arma de fogo em via pública. Investigação em curso.
2026-02-19,Tráfico de Entorpecentes,"Avenida Anchieta, 484 - Centro",Inquérito Policial nº 934: Apreensão de substâncias análogas à cocaína. Encaminhado ao DP central.
2026-02-12,Estelionato,"Avenida Albino José Barbosa de Oliveira, 1713 - Barão Geraldo",Ocorrência registrada via COPOM 657: Golpe do falso bilhete premiado. Encaminhado ao DP central.
2026-02-21,Homicídio,"Avenida Brasil, 687 - Guanabara",Relatório de diligência 902: Vítima encontrada sem sinais vitais. Investigação em curso.
2026-02-02,Estelionato,"Avenida Anchieta, 107 - Centro",Ocorrência registrada via COPOM 574: Fraude em ambiente digital reportada. Encaminhado ao DP central.
2026-02-10,Roubo,"Avenida Alberto Sarmento, 920 - Castelo",Ocorrência registrada via COPOM 417: Assalto a estabelecimento comercial. Aguardando perícia técnica.
2026-02-01,Homicídio,"Avenida Francisco Glicério, 1055 - Centro",Auto de constatação 264: Crime passional com arma branca. Aguardando perícia técnica.
2026-02-10,Furto,"Rua Sampaio Ferraz, 89 - Cambuí",Inquérito Policial nº 707: Furto de bicicleta em via pública. Encaminhado ao DP central.
2026-02-28,Estelionato,"Rua Doutor Delfino Cintra, 528 - Vila Itapura",Relatório de diligência 148: Venda de terreno inexistente. Investigação em curso.
2026-02-04,Estelionato,"Avenida Anchieta, 449 - Centro",Ocorrência registrada via COPOM 563: Venda de terreno inexistente. Investigação em curso.
2026-02-16,Furto,"Rua Doutor Delfino Cintra, 674 - Vila Itapura",Relatório de diligência 371: Subtração de pertences em residência sem arrombamento. Encaminhado ao DP central.
2026-02-12,Roubo,"Rua Doutor Delfino Cintra, 182 - Vila Itapura",Ocorrência registrada via COPOM 161: Vítima abordada por dois elementos em motocicleta. Investigação em curso.
2026-02-03,Furto,"Rua Sampaio Ferraz, 650 - Cambuí",Ocorrência registrada via COPOM 639: Objeto subtraído de interior de veículo. Aguardando perícia técnica.
2026-02-07,Tráfico de Entorpecentes,"Rua Maria Monteiro, 913 - Cambuí",Inquérito Policial nº 254: Indivíduo detido em flagrante com entorpecentes. Encaminhado ao DP central.
2026-02-11,Furto,"Avenida Heitor Penteado, 2782 - Taquaral",Auto de constatação 162: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-05,Homicídio,"Avenida Anchieta, 65 - Centro",Relatório de diligência 362: Confronto entre grupos rivais. Investigação em curso.
2026-02-13,Estelionato,"Rua Marechal Deodoro, 1353 - Vila Itapura",Auto de constatação 856: Venda de terreno inexistente. Aguardando perícia técnica.
2026-02-23,Homicídio,"Rua Coronel Quirino, 497 - Cambuí",Inquérito Policial nº 220: Crime passional com arma branca. Suspeito foragido.
2026-02-21,Roubo,"Avenida Albino José Barbosa de Oliveira, 837 - Barão Geraldo",Inquérito Policial nº 446: Vítima abordada por dois elementos em motocicleta. Aguardando perícia técnica.
2026-02-10,Furto,"Rua Sampaio Ferraz, 405 - Cambuí",Ocorrência registrada via COPOM 655: Furto de bicicleta em via pública. Suspeito foragido.
2026-02-21,Roubo,"Rua Sampaio Ferraz, 169 - Cambuí",Ocorrência registrada via COPOM 762: Roubo de carga em via arterial. Investigação em curso.
2026-02-03,Estelionato,"Avenida Albino José Barbosa de Oliveira, 2454 - Barão Geraldo",Inquérito Policial nº 194: Uso de documento falso para saque bancário. Aguardando perícia técnica.
2026-02-22,Homicídio,"Avenida Francisco Glicério, 889 - Centro",Ocorrência registrada via COPOM 280: Vítima encontrada sem sinais vitais. Encaminhado ao DP central.
2026-02-12,Homicídio,"Rua Barão de Itapura, 2092 - Guanabara",Relatório de diligência 579: Disparos de arma de fogo em via pública. Suspeito foragido.
2026-02-10,Roubo,"Avenida Albino José Barbosa de Oliveira, 105 - Barão Geraldo",Relatório de diligência 633: Subtração de veículo mediante ameaça. Suspeito foragido.
2026-02-21,Estelionato,"Rua Maria Monteiro, 487 - Cambuí",Inquérito Policial nº 602: Fraude em ambiente digital reportada. Aguardando perícia técnica.
2026-02-05,Tráfico de Entorpecentes,"Avenida Brasil, 880 - Guanabara",Inquérito Policial nº 939: Apreensão de substâncias análogas à cocaína. Aguardando perícia técnica.
2026-02-15,Furto,"Rua Barão de Itapura, 1719 - Guanabara",Ocorrência registrada via COPOM 173: Furto de bicicleta em via pública. Investigação em curso.
2026-02-26,Estelionato,"Avenida Albino José Barbosa de Oliveira, 2625 - Barão Geraldo",Inquérito Policial nº 735: Venda de terreno inexistente. Investigação em curso.
2026-02-05,Furto,"Rua Paula Bueno, 848 - Taquaral",Inquérito Policial nº 285: Furto de fiação elétrica noturno. Suspeito foragido.
2026-02-04,Furto,"Avenida Alberto Sarmento, 364 - Castelo",Auto de constatação 933: Furto de fiação elétrica noturno. Suspeito foragido.
2026-02-02,Furto,"Avenida Heitor Penteado, 2714 - Taquaral",Auto de constatação 205: Furto de fiação elétrica noturno. Encaminhado ao DP central.
2026-02-06,Roubo,"Rua Marechal Deodoro, 798 - Vila Itapura",Ocorrência registrada via COPOM 760: Subtração de veículo mediante ameaça. Encaminhado ao DP central.
2026-02-07,Tráfico de Entorpecentes,"Avenida Andrade Neves, 1826 - Castelo",Relatório de diligência 727: Apreensão de substâncias análogas à cocaína. Encaminhado ao DP central.
2026-02-28,Tráfico de Entorpecentes,"Rua Sampaio Ferraz, 326 - Cambuí",Ocorrência registrada via COPOM 264: Indivíduo detido em flagrante com entorpecentes. Investigação em curso.
2026-02-04,Estelionato,"Avenida Andrade Neves, 2009 - Castelo",Inquérito Policial nº 340: Fraude em ambiente digital reportada. Aguardando perícia técnica.
2026-02-24,Homicídio,"Avenida Albino José Barbosa de Oliveira, 2317 - Barão Geraldo",Relatório de diligência 932: Disparos de arma de fogo em via pública. Encaminhado ao DP central.
2026-02-17,Tráfico de Entorpecentes,"Avenida Andrade Neves, 785 - Castelo",Ocorrência registrada via COPOM 653: Venda de entorpecentes em praça pública. Aguardando perícia técnica.
2026-02-23,Tráfico de Entorpecentes,"Avenida Albino José Barbosa de Oliveira, 510 - Barão Geraldo",Relatório de diligência 489: Venda de entorpecentes em praça pública. Encaminhado ao DP central.
2026-02-11,Roubo,"Avenida Albino José Barbosa de Oliveira, 350 - Barão Geraldo",Ocorrência registrada via COPOM 139: Subtração de veículo mediante ameaça. Investigação em curso.
2026-02-28,Estelionato,"Rua Barão de Itapura, 1524 - Guanabara",Inquérito Policial nº 488: Golpe do falso bilhete premiado. Investigação em curso.
2026-02-15,Tráfico de Entorpecentes,"Rua Doutor Delfino Cintra, 392 - Vila Itapura",Inquérito Policial nº 923: Apreensão de substâncias análogas à cocaína. Aguardando perícia técnica.
2026-02-27,Roubo,"Avenida Andrade Neves, 1387 - Castelo",Relatório de diligência 931: Roubo de carga em via arterial. Aguardando perícia técnica.
2026-02-23,Estelionato,"Avenida Francisco Glicério, 56 - Centro",Auto de constatação 893: Uso de documento falso para saque bancário. Aguardando perícia técnica.
2026-02-13,Roubo,"Avenida Anchieta, 800 - Centro",Relatório de diligência 194: Roubo de carga em via arterial. Investigação em curso.
2026-02-02,Estelionato,"Avenida Heitor Penteado, 2194 - Taquaral",Relatório de diligência 446: Fraude em ambiente digital reportada. Aguardando perícia técnica.
2026-02-03,Roubo,"Avenida Francisco Glicério, 572 - Centro",Ocorrência registrada via COPOM 125: Roubo de carga em via arterial. Suspeito foragido.
2026-02-25,Furto,"Rua Maria Monteiro, 1353 - Cambuí",Relatório de diligência 800: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
2026-02-05,Homicídio,"Rua Paula Bueno, 117 - Taquaral",Auto de constatação 144: Disparos de arma de fogo em via pública. Suspeito foragido.
2026-02-10,Homicídio,"Rua Sampaio Ferraz, 602 - Cambuí",Auto de constatação 313: Disparos de arma de fogo em via pública. Investigação em curso.
2026-02-11,Homicídio,"Rua Paula Bueno, 957 - Taquaral",Auto de constatação 571: Disparos de arma de fogo em via pública. Suspeito foragido.
2026-02-24,Homicídio,"Rua Paula Bueno, 1111 - Taquaral",Inquérito Policial nº 981: Vítima encontrada sem sinais vitais. Encaminhado ao DP central.
2026-02-14,Furto,"Rua Marechal Deodoro, 168 - Vila Itapura",Relatório de diligência 506: Subtração de pertences em residência sem arrombamento. Suspeito foragido.
